"...1","Name","startdato","slutdato","party","partyShortname","sex","born","bloc"
163,"Karen Jespersen","2007-09-12T00:00:00Z","2007-11-23T00:00:00Z",NA,"V","f","17184","right"
164,"Daniel Toft Jakobsen","2019-10-01T00:00:00Z",NA,NA,"S","m","28622","left"
165,"Merete Dea Larsen","2016-10-04T00:00:00Z",NA,NA,"DF","f","28599","right"
166,"Kristen Touborg",NA,NA,NA,"SF","m","16033","left"
167,"Kaare Dybvad Bek",NA,NA,NA,"S","m","30899","left"
168,"Jacob Mark",NA,NA,NA,"SF","m","33527","left"
169,"Jeppe Jakobsen","2016-10-04T00:00:00Z",NA,NA,"DF","m","11-08-1088","right"
170,"Marcus Knuth","2019-10-01T00:00:00Z",NA,"Det Konservative Folkeparti","KF","m","27852","right"
171,"Eva Flyvholm","2019-10-01T00:00:00Z",NA,NA,"EL","f","29694","left"
172,"Rasmus Nordqvist","2021-10-06T00:00:00Z","2022-05-03T00:00:00Z",NA,"SF","m","27593","left"
173,"Mette Abildgaard",NA,NA,NA,"KF","f","32428","right"
174,"Trine Torp","2019-10-01T00:00:00Z",NA,NA,"SF","f","25617","left"
175,"May-Britt Kattrup","2016-10-04T00:00:00Z",NA,NA,"LA","f","22980","right"
176,"Jan Erik Messmann","2016-10-04T00:00:00Z",NA,NA,"DF","m","17877","right"
177,"Christian Poll","2016-10-04T00:00:00Z",NA,NA,"ALT","m","23795","left"
178,"Dorthe Ullemose","2016-10-04T00:00:00Z",NA,NA,"DF","f","23644","right"
179,"Roger Courage Matthisen","2015-08-21T00:00:00Z",NA,NA,"ALT","m","27851","left"
180,"Henrik Dahl",NA,NA,"Liberal Alliance","LA","m","21966","right"
181,"Magni Arge","2016-10-18T00:00:00Z","2016-12-31T00:00:00Z",NA,"g_f","m","21899",NA
182,"Kasper Roug",NA,NA,NA,"S","m","29012","left"
183,"Malte Larsen",NA,NA,NA,"S","m","25191","left"
184,"Malou Lunderød",NA,NA,NA,"S","f","31698","left"
185,"Anne Paulin",NA,NA,NA,"S","f","32147","left"
186,"Peder Hvelplund",NA,NA,NA,"EL","m","24723","left"
187,"Lars Aslan Rasmussen","2019-10-01T00:00:00Z",NA,NA,"S","m","28794","left"
188,"Jonathan Simmel",NA,NA,NA,"EL","m","32085","left"
189,"Orla Østerby",NA,NA,"Uden for folketingsgrupperne","g_f","m","19053",NA
190,"Brigitte Klintskov Jerkel",NA,NA,NA,"KF","f","25405","right"
191,"Kristian Hegaard",NA,NA,NA,"RV","m","33256","left"
192,"Carl Valentin",NA,NA,NA,"SF","m","33674","left"
193,"Mads Fuglede",NA,NA,NA,"DD","m","26168","right"
194,"Øjvind Vilsholm",NA,NA,NA,"EL","m","24626","left"
195,"Tommy Ahlers","2019-10-01T00:00:00Z",NA,NA,"V","m","27716","right"
196,"Carsten Kissmeyer","2019-10-01T00:00:00Z",NA,NA,"V","m","19501","right"
197,"Julius Graakjær Grantzau",NA,NA,NA,"ALT","m","30446","left"
198,"Aki-Matilda Høegh-Dam",NA,NA,NA,"g_f","f","35355",NA
199,"Sikandar Siddique","2021-11-12T00:00:00Z",NA,NA,"g_f","m","31689",NA
200,"Susanne Zimmer","2020-10-07T00:00:00Z",NA,NA,"g_f","f","22076",NA
201,"Mai Villadsen",NA,NA,NA,"EL","f","33598","left"
202,"Victoria Velasquez",NA,NA,NA,"EL","f","33437","left"
203,"Kim Valentin",NA,NA,NA,"V","m","23089","right"
204,"Morten Dahlin",NA,NA,NA,"V","m","32629","right"
205,"Stén Knuth","2022-03-04T00:00:00Z",NA,NA,"V","m","23726","right"
206,"Marlene Ambo-Rasmussen","2019-10-01T00:00:00Z",NA,NA,"V","f","31485","right"
207,"Christoffer Aagaard Melson",NA,NA,NA,"V","m","30910","right"
208,"Heidi Bank",NA,NA,NA,"V","f","26512","right"
209,"Marie Bjerre",NA,NA,NA,"V","f","31538","right"
210,"Anne Honoré Østergaard","2019-10-01T00:00:00Z",NA,NA,"V","f","29610","right"
211,"Alex Vanopslagh",NA,NA,NA,"LA","m","33528","right"
212,"Halime Oguz","2023-11-01T00:00:00Z","2023-11-15T00:00:00Z",NA,"SF","f","25734","left"
213,"Ina Strøjer-Schmidt","2022-05-04T00:00:00Z",NA,NA,"SF","f","32406","left"
